well	wt_peak	wt_rel_Area	nonFrameShift	FrameShift	Area_total	N_peaks	InDelSizes	sampleNames	sampleTypes	column	rowNames	Area_total_relativ
G02	TRUE	1	0	0	4780	1	0	BF015	unknown	02	G	0.261173642224893
G03	TRUE	1	0	0	3942	1	0	BF023	unknown	03	G	0.215386296579609
G04	TRUE	0.964852607709751	0	0.0351473922902494	16758	2	1; 0	BF031	unknown	04	G	0.915637635231122
G05	TRUE	1	0	0	3953	1	0	BF038	unknown	05	G	0.21598732378975
G06	TRUE	1	0	0	800	1	0	BF045	unknown	06	G	0.043711069828434
G07	TRUE	1	0	0	1381	1	0	BF053	unknown	07	G	0.0754562342913343
G08	NA	NA	NA	NA	NA	NA	NA	BF059	unknown	08	G	NA
G09	TRUE	1	0	0	4756	1	0	BF066	unknown	09	G	0.25986231013004
G10	TRUE	1	0	0	4167	1	0	wt	wt	10	G	0.227680034968856
G11	TRUE	1	0	0	559	1	0	wt	wt	11	G	0.0305431100426183
G12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	G	NA
H01	TRUE	1	0	0	2623	1	0	BF008	unknown	01	H	0.143317670199978
H02	TRUE	1	0	0	5876	1	0	BF016	unknown	02	H	0.321057807889848
H03	TRUE	1	0	0	3265	1	0	BF024	unknown	03	H	0.178395803737296
H04	TRUE	1	0	0	16357	1	0	BF032	unknown	04	H	0.89372746147962
H05	TRUE	1	0	0	8131	1	0	BF039	unknown	05	H	0.444268385968747
H06	TRUE	1	0	0	7347	1	0	BF046	unknown	06	H	0.401431537536881
H07	TRUE	1	0	0	4334	1	0	BF054	unknown	07	H	0.236804720795541
H08	TRUE	1	0	0	8198	1	0	BF060	unknown	08	H	0.447929188066878
H09	TRUE	1	0	0	1424	1	0	BF067	unknown	09	H	0.0778057042946126
H10	TRUE	1	0	0	5804	1	0	wt	wt	10	H	0.317123811605289
H11	TRUE	1	0	0	562	1	0	wt	wt	11	H	0.0307070265544749
H12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	H	NA
