well	wt_peak	wt_rel_Area	nonFrameShift	FrameShift	Area_total	N_peaks	InDelSizes	sampleNames	sampleTypes	column	rowNames	Area_total_relativ
E12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	E	NA
F01	TRUE	0.976996805111821	0	0.0230031948881789	4695	2	0; 1	BF006	unknown	01	F	0.326881570702499
F02	TRUE	1	0	0	2650	1	0	BF014	unknown	02	F	0.18450184501845
F03	TRUE	0.92974708952228	0	0.0702529104777198	4982	3	0; 1; 10	BF022	unknown	03	F	0.346863468634686
F04	TRUE	0.964737032133831	0.0149235768443856	0.0203393910217836	8309	3	-5; 0; 9	BF030	unknown	04	F	0.57850031330502
F05	TRUE	1	0	0	3231	1	0	BF037	unknown	05	F	0.224953004247024
F06	NA	NA	NA	NA	NA	NA	NA	skip	skip	06	F	NA
F07	TRUE	1	0	0	373	1	0	BF052	unknown	07	F	0.0259695049780686
F08	NA	NA	NA	NA	NA	NA	NA	skip	skip	08	F	NA
F09	TRUE	1	0	0	7796	1	0	BF065	unknown	09	F	0.542783541042958
F10	TRUE	1	0	0	8185	1	0	wt	wt	10	F	0.569867019424911
F11	NA	NA	NA	NA	NA	NA	NA	wt	wt	11	F	NA
F12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	F	NA
G01	TRUE	1	0	0	8806	1	0	BF007	unknown	01	G	0.613103112163197
G02	TRUE	0.961790814357391	0	0.038209185642609	2591	2	0; 7	BF015	unknown	02	G	0.180394068091624
G03	TRUE	0.915291529152915	0.0531719838650532	0.0315364869820315	2727	3	0; 12; 38	BF023	unknown	03	G	0.189862842024647
G04	TRUE	0.98760704588178	0	0.0123929541182204	14363	2	-10; 0	BF031	unknown	04	G	1
G05	TRUE	1	0	0	2972	1	0	BF038	unknown	05	G	0.206920559771635
G06	TRUE	0.819702602230483	0	0.180297397769517	538	2	0; 1	BF045	unknown	06	G	0.0374573557056325
G07	TRUE	1	0	0	532	1	0	BF053	unknown	07	G	0.0370396156791757
G08	NA	NA	NA	NA	NA	NA	NA	BF059	unknown	08	G	NA
G09	TRUE	1	0	0	4081	1	0	BF066	unknown	09	G	0.284132841328413
G10	TRUE	1	0	0	3719	1	0	wt	wt	10	G	0.258929193065516
G11	TRUE	1	0	0	197	1	0	wt	wt	11	G	0.0137157975353338
G12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	G	NA
H01	NA	NA	NA	NA	NA	NA	NA	BF008	unknown	01	H	NA
H02	FALSE	0	0.860430950048972	0.139569049951028	4084	4	-9; -6; -5; -7	BF016	unknown	02	H	0.284341711341642
H03	TRUE	0.0791878172588832	0.43502538071066	0.485786802030457	1970	6	-9; -6; -5; -2; 0; 1	BF024	unknown	03	H	0.137157975353338
H04	FALSE	0	0.685645814395505	0.314354185604496	12101	13	1; -12; -11; -18; -17; -5; -3; -7; -6; 6; 49; -26; -31	BF032	unknown	04	H	0.842512010025761
H05	TRUE	0.034163183717972	0.520988551699073	0.444848264582955	5503	14	-27; -26; -10; -9; -8; -7; -6; -5; -2; 0; 1; -15; -14; -12	BF039	unknown	05	H	0.383137227598691
H06	TRUE	0.0452850293020778	0.657165689930741	0.297549280767182	3754	10	-27; -6; -5; 3; -11; -10; -9; -2; 0; 1	BF046	unknown	06	H	0.261366009886514
H07	FALSE	0	0.795095828635851	0.204904171364149	3548	3	-11; -7; -6	BF054	unknown	07	H	0.247023602311495
H08	FALSE	0	0.392111683383031	0.607888316616969	7378	11	-12; -11; -10; -20; -9; -7; -6; -3; 5; -36; -47	BF060	unknown	08	H	0.513680985866462
H09	FALSE	0	0.401253918495298	0.598746081504702	957	4	-11; -10; -7; -6	BF067	unknown	09	H	0.0666295342198705
H10	TRUE	1	0	0	5259	1	0	wt	wt	10	H	0.366149133189445
H11	TRUE	1	0	0	161	1	0	wt	wt	11	H	0.0112093573765926
H12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	H	NA
